1.85,1.152,0.839,0.798,1.504,0.478,0.324,0.152,0.174,0.154,1.85,1.152,0.839,0.798,1.504,0.478,0.324,0.152,0.174,0.154,29.017
1.843,1.144,0.817,0.773,1.5,0.478,0.327,0.152,0.179,0.152,1.843,1.144,0.817,0.773,1.5,0.478,0.327,0.152,0.179,0.152,28.0
1.861,1.145,0.829,0.806,1.516,0.476,0.323,0.159,0.17,0.153,1.861,1.145,0.829,0.806,1.516,0.476,0.323,0.159,0.17,0.153,30.017
1.858,1.138,0.815,0.784,1.52,0.471,0.327,0.149,0.183,0.144,1.858,1.138,0.815,0.784,1.52,0.471,0.327,0.149,0.183,0.144,32.062
1.86,1.141,0.834,0.797,1.502,0.469,0.323,0.152,0.174,0.146,1.86,1.141,0.834,0.797,1.502,0.469,0.323,0.152,0.174,0.146,30.017
1.875,1.149,0.825,0.791,1.524,0.467,0.321,0.15,0.175,0.146,1.875,1.149,0.825,0.791,1.524,0.467,0.321,0.15,0.175,0.146,30.0
1.88,1.164,0.836,0.796,1.54,0.472,0.317,0.145,0.174,0.155,1.88,1.164,0.836,0.796,1.54,0.472,0.317,0.145,0.174,0.155,29.017
1.837,1.145,0.82,0.802,1.496,0.469,0.32,0.146,0.181,0.149,1.837,1.145,0.82,0.802,1.496,0.469,0.32,0.146,0.181,0.149,30.0
1.846,1.148,0.816,0.784,1.498,0.472,0.323,0.147,0.181,0.149,1.846,1.148,0.816,0.784,1.498,0.472,0.323,0.147,0.181,0.149,32.0
1.847,1.147,0.828,0.799,1.502,0.471,0.322,0.147,0.179,0.149,1.847,1.147,0.828,0.799,1.502,0.471,0.322,0.147,0.179,0.149,33.015
1.843,1.145,0.817,0.799,1.515,0.473,0.319,0.146,0.18,0.154,1.843,1.145,0.817,0.799,1.515,0.473,0.319,0.146,0.18,0.154,31.145
1.834,1.138,0.815,0.79,1.527,0.477,0.332,0.151,0.185,0.146,1.834,1.138,0.815,0.79,1.527,0.477,0.332,0.151,0.185,0.146,30.067
1.841,1.145,0.828,0.8,1.527,0.482,0.33,0.158,0.176,0.153,1.841,1.145,0.828,0.8,1.527,0.482,0.33,0.158,0.176,0.153,31.257
1.856,1.138,0.827,0.804,1.537,0.468,0.323,0.144,0.182,0.146,1.856,1.138,0.827,0.804,1.537,0.468,0.323,0.144,0.182,0.146,30.15
1.836,1.125,0.826,0.798,1.508,0.461,0.318,0.151,0.172,0.145,1.836,1.125,0.826,0.798,1.508,0.461,0.318,0.151,0.172,0.145,31.016
1.847,1.135,0.833,0.789,1.532,0.463,0.319,0.145,0.176,0.145,1.847,1.135,0.833,0.789,1.532,0.463,0.319,0.145,0.176,0.145,32.14
1.848,1.127,0.832,0.784,1.522,0.456,0.313,0.139,0.176,0.145,1.848,1.127,0.832,0.784,1.522,0.456,0.313,0.139,0.176,0.145,30.15
1.84,1.141,0.821,0.785,1.522,0.471,0.319,0.145,0.178,0.152,1.84,1.141,0.821,0.785,1.522,0.471,0.319,0.145,0.178,0.152,30.067
1.867,1.145,0.81,0.786,1.564,0.46,0.315,0.142,0.179,0.145,1.867,1.145,0.81,0.786,1.564,0.46,0.315,0.142,0.179,0.145,29.275
1.837,1.12,0.822,0.795,1.519,0.456,0.321,0.149,0.176,0.136,1.837,1.12,0.822,0.795,1.519,0.456,0.321,0.149,0.176,0.136,31.145

0.927,1.043,0.995,1.003,0.098,2.081,1.656,0.862,0.795,0.562,0.927,1.043,0.995,1.003,0.098,2.081,1.656,0.862,0.795,0.562,70.0
0.967,1.035,0.988,1.006,0.064,3.012,2.568,1.37,1.223,0.665,0.967,1.035,0.988,1.006,0.064,3.012,2.568,1.37,1.223,0.665,63.655
0.961,1.049,0.994,1.007,0.078,2.665,2.209,1.194,1.018,0.72,0.961,1.049,0.994,1.007,0.078,2.665,2.209,1.194,1.018,0.72,66.843
0.94,1.042,0.996,1.008,0.106,1.925,1.599,0.92,0.681,0.48,0.94,1.042,0.996,1.008,0.106,1.925,1.599,0.92,0.681,0.48,68.6
0.948,1.035,0.994,1.019,0.099,2.09,1.879,1.089,0.801,0.393,0.948,1.035,0.994,1.019,0.099,2.09,1.879,1.089,0.801,0.393,70.434
0.931,1.033,0.988,1.007,0.103,1.88,1.719,0.912,0.822,0.342,0.931,1.033,0.988,1.007,0.103,1.88,1.719,0.912,0.822,0.342,67.624
