2.647,1.282,0.788,0.693,2.605,0.405,0.262,0.124,0.138,0.143,2.647,1.282,0.788,0.693,2.605,0.405,0.262,0.124,0.138,0.143,27.459,A
2.611,1.258,0.849,0.778,2.693,0.408,0.274,0.141,0.134,0.134,2.611,1.258,0.849,0.778,2.693,0.408,0.274,0.141,0.134,0.134,26.306,A
2.571,1.242,0.814,0.74,2.566,0.395,0.259,0.123,0.137,0.136,2.571,1.242,0.814,0.74,2.566,0.395,0.259,0.123,0.137,0.136,24.331,A
2.592,1.26,0.814,0.702,2.563,0.397,0.257,0.121,0.137,0.142,2.592,1.26,0.814,0.702,2.563,0.397,0.257,0.121,0.137,0.142,25.179,A
2.629,1.267,0.831,0.758,2.642,0.401,0.266,0.131,0.135,0.135,2.629,1.267,0.831,0.758,2.642,0.401,0.266,0.131,0.135,0.135,25.495,A
2.536,1.244,0.838,0.764,2.563,0.399,0.262,0.125,0.138,0.138,2.536,1.244,0.838,0.764,2.563,0.399,0.262,0.125,0.138,0.138,26.683,A
2.693,1.267,0.826,0.759,2.724,0.393,0.257,0.118,0.14,0.136,2.693,1.267,0.826,0.759,2.724,0.393,0.257,0.118,0.14,0.136,24.515,A
2.813,1.303,0.841,0.808,2.868,0.398,0.253,0.117,0.136,0.146,2.813,1.303,0.841,0.808,2.868,0.398,0.253,0.117,0.136,0.146,26.306,A
2.692,1.248,0.833,0.803,2.819,0.403,0.275,0.138,0.137,0.128,2.692,1.248,0.833,0.803,2.819,0.403,0.275,0.138,0.137,0.128,24.042,A
2.805,1.277,0.854,0.821,2.887,0.389,0.25,0.125,0.125,0.139,2.805,1.277,0.854,0.821,2.887,0.389,0.25,0.125,0.125,0.139,23.77,A
2.801,1.27,0.845,0.807,2.888,0.384,0.249,0.12,0.129,0.134,2.801,1.27,0.845,0.807,2.888,0.384,0.249,0.12,0.129,0.134,24.515,A
2.627,1.253,0.831,0.76,2.696,0.402,0.264,0.131,0.134,0.138,2.627,1.253,0.831,0.76,2.696,0.402,0.264,0.131,0.134,0.138,25,A
2.777,1.296,0.825,0.796,2.85,0.401,0.264,0.137,0.127,0.137,2.777,1.296,0.825,0.796,2.85,0.401,0.264,0.137,0.127,0.137,23.345,A
2.665,1.29,0.831,0.81,2.721,0.406,0.26,0.127,0.132,0.147,2.665,1.29,0.831,0.81,2.721,0.406,0.26,0.127,0.132,0.147,26.476,A
2.795,1.303,0.827,0.789,2.818,0.397,0.253,0.12,0.134,0.144,2.795,1.303,0.827,0.789,2.818,0.397,0.253,0.12,0.134,0.144,25.318,A
2.62,1.272,0.841,0.805,2.646,0.402,0.258,0.129,0.129,0.144,2.62,1.272,0.841,0.805,2.646,0.402,0.258,0.129,0.129,0.144,24.331,A
