1.848,1.213,0.81,0.754,1.63,0.465,0.283,0.117,0.168,0.182,1.848,1.213,0.81,0.754,1.63,0.465,0.283,0.117,0.168,0.182,24.187
1.822,1.209,0.828,0.772,1.599,0.463,0.28,0.126,0.156,0.183,1.822,1.209,0.828,0.772,1.599,0.463,0.28,0.126,0.156,0.183,24.083
1.813,1.178,0.833,0.78,1.606,0.448,0.273,0.127,0.149,0.176,1.813,1.178,0.833,0.78,1.606,0.448,0.273,0.127,0.149,0.176,25.02
1.818,1.18,0.816,0.757,1.591,0.447,0.272,0.111,0.163,0.177,1.818,1.18,0.816,0.757,1.591,0.447,0.272,0.111,0.163,0.177,23.087
1.839,1.18,0.83,0.777,1.633,0.447,0.276,0.116,0.161,0.172,1.839,1.18,0.83,0.777,1.633,0.447,0.276,0.116,0.161,0.172,23.195
1.818,1.186,0.816,0.754,1.577,0.451,0.266,0.112,0.157,0.187,1.818,1.186,0.816,0.754,1.577,0.451,0.266,0.112,0.157,0.187,25.08
1.812,1.17,0.813,0.76,1.613,0.459,0.287,0.128,0.163,0.174,1.812,1.17,0.813,0.76,1.613,0.459,0.287,0.128,0.163,0.174,25.08
1.84,1.186,0.825,0.765,1.618,0.448,0.273,0.118,0.157,0.176,1.84,1.186,0.825,0.765,1.618,0.448,0.273,0.118,0.157,0.176,24.083
1.855,1.17,0.837,0.779,1.642,0.44,0.277,0.127,0.151,0.164,1.855,1.17,0.837,0.779,1.642,0.44,0.277,0.127,0.151,0.164,23.022
1.873,1.173,0.834,0.791,1.662,0.437,0.273,0.124,0.152,0.164,1.873,1.173,0.834,0.791,1.662,0.437,0.273,0.124,0.152,0.164,24.021
1.829,1.14,0.84,0.783,1.614,0.434,0.277,0.127,0.152,0.159,1.829,1.14,0.84,0.783,1.614,0.434,0.277,0.127,0.152,0.159,24.0
1.83,1.154,0.83,0.777,1.629,0.44,0.273,0.127,0.149,0.17,1.83,1.154,0.83,0.777,1.629,0.44,0.273,0.127,0.149,0.17,23.195
1.835,1.137,0.828,0.775,1.637,0.433,0.282,0.132,0.153,0.155,1.835,1.137,0.828,0.775,1.637,0.433,0.282,0.132,0.153,0.155,23.195
1.782,1.137,0.833,0.767,1.579,0.449,0.288,0.136,0.154,0.165,1.782,1.137,0.833,0.767,1.579,0.449,0.288,0.136,0.154,0.165,24.187
1.86,1.181,0.84,0.804,1.662,0.444,0.278,0.131,0.15,0.166,1.86,1.181,0.84,0.804,1.662,0.444,0.278,0.131,0.15,0.166,24.083
1.845,1.17,0.813,0.76,1.646,0.45,0.282,0.125,0.16,0.17,1.845,1.17,0.813,0.76,1.646,0.45,0.282,0.125,0.16,0.17,25.495
1.812,1.163,0.828,0.761,1.613,0.451,0.29,0.129,0.162,0.162,1.812,1.163,0.828,0.761,1.613,0.451,0.29,0.129,0.162,0.162,26.306
1.818,1.161,0.83,0.763,1.619,0.443,0.282,0.121,0.162,0.162,1.818,1.161,0.83,0.763,1.619,0.443,0.282,0.121,0.162,0.162,24.187
1.85,1.187,0.824,0.774,1.666,0.459,0.286,0.125,0.162,0.174,1.85,1.187,0.824,0.774,1.666,0.459,0.286,0.125,0.162,0.174,25.318
1.824,1.185,0.818,0.768,1.638,0.459,0.277,0.126,0.155,0.184,1.824,1.185,0.818,0.768,1.638,0.459,0.277,0.126,0.155,0.184,24.187

0.926,1.013,0.973,0.92,0.18,0.549,0.507,0.399,0.152,0.094,0.926,1.013,0.973,0.92,0.18,0.549,0.507,0.399,0.152,0.094,11.045
0.894,1.016,0.967,0.9,0.152,0.764,0.67,0.504,0.251,0.159,0.894,1.016,0.967,0.9,0.152,0.764,0.67,0.504,0.251,0.159,15.0
0.898,1.003,0.973,0.917,0.158,0.584,0.582,0.447,0.175,0.049,0.898,1.003,0.973,0.917,0.158,0.584,0.582,0.447,0.175,0.049,16.0
0.905,1.03,0.972,0.91,0.173,0.701,0.589,0.472,0.163,0.243,0.905,1.03,0.972,0.91,0.173,0.701,0.589,0.472,0.163,0.243,13.038
0.908,1.016,0.96,0.902,0.166,0.69,0.611,0.428,0.263,0.147,0.908,1.016,0.96,0.902,0.166,0.69,0.611,0.428,0.263,0.147,13.038
0.894,1.013,0.965,0.905,0.162,0.686,0.624,0.434,0.214,0.107,0.894,1.013,0.965,0.905,0.162,0.686,0.624,0.434,0.214,0.107,17.029
