1.699,1.1,0.915,0.839,1.34,0.505,0.352,0.195,0.157,0.155,1.699,1.1,0.915,0.839,1.34,0.505,0.352,0.195,0.157,0.155,23.022
1.728,1.139,0.906,0.804,1.369,0.549,0.375,0.217,0.159,0.174,1.728,1.139,0.906,0.804,1.369,0.549,0.375,0.217,0.159,0.174,25.179
1.717,1.063,0.895,0.803,1.379,0.504,0.36,0.2,0.161,0.155,1.717,1.063,0.895,0.803,1.379,0.504,0.36,0.2,0.161,0.155,28.0
1.735,1.111,0.905,0.831,1.367,0.542,0.382,0.203,0.18,0.161,1.735,1.111,0.905,0.831,1.367,0.542,0.382,0.203,0.18,0.161,26.0
1.726,1.107,0.898,0.783,1.379,0.506,0.345,0.189,0.157,0.167,1.726,1.107,0.898,0.783,1.379,0.506,0.345,0.189,0.157,0.167,25.0
1.804,1.108,0.931,0.842,1.478,0.505,0.356,0.194,0.165,0.15,1.804,1.108,0.931,0.842,1.478,0.505,0.356,0.194,0.165,0.15,24.021
1.765,1.088,0.888,0.788,1.427,0.498,0.357,0.204,0.153,0.147,1.765,1.088,0.888,0.788,1.427,0.498,0.357,0.204,0.153,0.147,23.0
1.826,1.126,0.935,0.837,1.468,0.498,0.322,0.178,0.148,0.178,1.826,1.126,0.935,0.837,1.468,0.498,0.322,0.178,0.148,0.178,19.0
1.753,1.115,0.895,0.794,1.396,0.516,0.349,0.202,0.147,0.171,1.753,1.115,0.895,0.794,1.396,0.516,0.349,0.202,0.147,0.171,24.083
1.759,1.115,0.94,0.855,1.328,0.515,0.336,0.206,0.131,0.18,1.759,1.115,0.94,0.855,1.328,0.515,0.336,0.206,0.131,0.18,22.0
1.719,1.095,0.908,0.784,1.363,0.497,0.364,0.214,0.153,0.135,1.719,1.095,0.908,0.784,1.363,0.497,0.364,0.214,0.153,0.135,21.024
1.892,1.158,0.948,0.893,1.52,0.522,0.342,0.197,0.148,0.179,1.892,1.158,0.948,0.893,1.52,0.522,0.342,0.197,0.148,0.179,22.0
1.811,1.115,0.914,0.846,1.488,0.505,0.346,0.198,0.148,0.161,1.811,1.115,0.914,0.846,1.488,0.505,0.346,0.198,0.148,0.161,20.0
1.765,1.088,0.909,0.826,1.392,0.49,0.343,0.19,0.153,0.15,1.765,1.088,0.909,0.826,1.392,0.49,0.343,0.19,0.153,0.15,21.024
1.67,1.082,0.893,0.823,1.276,0.546,0.389,0.205,0.185,0.162,1.67,1.082,0.893,0.823,1.276,0.546,0.389,0.205,0.185,0.162,27.074
1.8,1.11,0.906,0.801,1.436,0.491,0.343,0.193,0.152,0.149,1.8,1.11,0.906,0.801,1.436,0.491,0.343,0.193,0.152,0.149,20.1
1.784,1.11,0.903,0.813,1.487,0.516,0.373,0.213,0.161,0.144,1.784,1.11,0.903,0.813,1.487,0.516,0.373,0.213,0.161,0.144,23.087
1.736,1.076,0.921,0.848,1.356,0.475,0.329,0.176,0.153,0.15,1.736,1.076,0.921,0.848,1.356,0.475,0.329,0.176,0.153,0.15,23.0
1.727,1.092,0.915,0.819,1.386,0.503,0.344,0.194,0.152,0.164,1.727,1.092,0.915,0.819,1.386,0.503,0.344,0.194,0.152,0.164,21.095
1.636,1.121,0.916,0.841,1.186,0.603,0.391,0.209,0.182,0.215,1.636,1.121,0.916,0.841,1.186,0.603,0.391,0.209,0.182,0.215,35.0
1.805,1.088,0.925,0.821,1.469,0.51,0.353,0.207,0.149,0.164,1.805,1.088,0.925,0.821,1.469,0.51,0.353,0.207,0.149,0.164,21.095
1.805,1.133,0.925,0.817,1.375,0.523,0.362,0.206,0.159,0.162,1.805,1.133,0.925,0.817,1.375,0.523,0.362,0.206,0.159,0.162,29.069
1.647,1.075,0.912,0.81,1.212,0.538,0.391,0.22,0.173,0.152,1.647,1.075,0.912,0.81,1.212,0.538,0.391,0.22,0.173,0.152,31.016
