F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,Alphabet
0.969,1.028,0.967,0.879,0.217,0.7,0.558,0.405,0.167,0.167,0.969,1.028,0.967,0.879,0.217,0.7,0.558,0.405,0.167,0.167,12.083,B
0.98,1.028,0.967,0.892,0.219,0.641,0.495,0.34,0.167,0.167,0.98,1.028,0.967,0.892,0.219,0.641,0.495,0.34,0.167,0.167,11.705,B
0.999,1.038,0.976,0.896,0.233,0.631,0.449,0.346,0.113,0.226,0.999,1.038,0.976,0.896,0.233,0.631,0.449,0.346,0.113,0.226,11.18,B
0.984,1.038,0.969,0.889,0.215,0.708,0.515,0.372,0.151,0.243,0.984,1.038,0.969,0.889,0.215,0.708,0.515,0.372,0.151,0.243,12.083,B
0.981,1.027,0.961,0.881,0.221,0.677,0.54,0.36,0.188,0.161,0.981,1.027,0.961,0.881,0.221,0.677,0.54,0.36,0.188,0.161,10.817,B
0.976,1.029,0.961,0.883,0.216,0.689,0.54,0.362,0.191,0.191,0.976,1.029,0.961,0.883,0.216,0.689,0.54,0.362,0.191,0.191,12.083,B
0.866,0.972,1,0.948,0.336,0.086,0.189,0.189,0,0.103,0.866,0.972,1,0.948,0.336,0.086,0.189,0.189,0,0.103,1.414,C
0.866,0.972,1,0.948,0.336,0.086,0.189,0.189,0,0.103,0.866,0.972,1,0.948,0.336,0.086,0.189,0.189,0,0.103,1.414,C
0.782,1.001,1.002,0.931,0.411,0.176,0.197,0.187,0.037,0.059,0.782,1.001,1.002,0.931,0.411,0.176,0.197,0.187,0.037,0.059,12.042,C
0.782,1.001,1.002,0.931,0.411,0.176,0.197,0.187,0.037,0.059,0.782,1.001,1.002,0.931,0.411,0.176,0.197,0.187,0.037,0.059,12.042,C
0.759,0.993,0.992,0.893,0.24,0.416,0.508,0.501,0.059,0.291,0.759,0.993,0.992,0.893,0.24,0.416,0.508,0.501,0.059,0.291,43.139,C
0.859,0.971,0.997,0.923,0.337,0.151,0.233,0.22,0.019,0.086,0.859,0.971,0.997,0.923,0.337,0.151,0.233,0.22,0.019,0.086,0,C
0.859,0.971,0.997,0.923,0.337,0.151,0.233,0.22,0.019,0.086,0.859,0.971,0.997,0.923,0.337,0.151,0.233,0.22,0.019,0.086,0,C
0.796,0.995,1.003,0.894,0.436,0.297,0.366,0.346,0.037,0.093,0.796,0.995,1.003,0.894,0.436,0.297,0.366,0.346,0.037,0.093,14.318,C
0.861,0.979,0.984,0.928,0.325,0.17,0.242,0.183,0.063,0.071,0.861,0.979,0.984,0.928,0.325,0.17,0.242,0.183,0.063,0.071,2,C
0.861,0.979,0.984,0.928,0.325,0.17,0.242,0.183,0.063,0.071,0.861,0.979,0.984,0.928,0.325,0.17,0.242,0.183,0.063,0.071,2,C
0.719,0.992,0.995,0.87,0.222,0.579,0.652,0.644,0.033,0.12,0.719,0.992,0.995,0.87,0.222,0.579,0.652,0.644,0.033,0.12,53.413,C
0.863,0.979,1,0.946,0.339,0.126,0.171,0.171,0,0.063,0.863,0.979,1,0.946,0.339,0.126,0.171,0.171,0,0.063,1,C
0.863,0.979,1,0.946,0.339,0.126,0.171,0.171,0,0.063,0.863,0.979,1,0.946,0.339,0.126,0.171,0.171,0,0.063,1,C
0.694,0.98,0.985,0.875,0.181,0.621,0.854,0.815,0.095,0.308,0.694,0.98,0.985,0.875,0.181,0.621,0.854,0.815,0.095,0.308,75.166,C
0.855,0.983,0.989,0.899,0.397,0.228,0.278,0.245,0.034,0.051,0.855,0.983,0.989,0.899,0.397,0.228,0.278,0.245,0.034,0.051,2.236,C
0.855,0.983,0.989,0.899,0.397,0.228,0.278,0.245,0.034,0.051,0.855,0.983,0.989,0.899,0.397,0.228,0.278,0.245,0.034,0.051,2.236,C
0.675,0.975,0.993,0.869,0.195,0.626,0.672,0.639,0.177,0.302,0.675,0.975,0.993,0.869,0.195,0.626,0.672,0.639,0.177,0.302,78.102,C
0.878,0.992,0.983,0.894,0.366,0.282,0.314,0.26,0.055,0.041,0.878,0.992,0.983,0.894,0.366,0.282,0.314,0.26,0.055,0.041,2.236,C
0.878,0.992,0.983,0.894,0.366,0.282,0.314,0.26,0.055,0.041,0.878,0.992,0.983,0.894,0.366,0.282,0.314,0.26,0.055,0.041,2.236,C
0.677,0.975,0.99,0.895,0.218,0.566,0.571,0.452,0.19,0.18,0.677,0.975,0.99,0.895,0.218,0.566,0.571,0.452,0.19,0.18,74.404,C
0.83,0.993,0.985,0.924,0.388,0.187,0.218,0.18,0.04,0.04,0.83,0.993,0.985,0.924,0.388,0.187,0.218,0.18,0.04,0.04,7.071,C
1.3,2.183,0.51,0.305,1.009,1.964,0.699,0.209,0.49,1.835,1.3,2.183,0.51,0.305,1.009,1.964,0.699,0.209,0.49,1.835,66.272,D
