F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,Alphabet
1.127,1.801,0.892,0.876,0.805,1.443,0.537,0.268,0.272,1.015,1.127,1.801,0.892,0.876,0.805,1.443,0.537,0.268,0.272,1.015,90.355,1
1.147,1.82,0.881,0.83,0.846,1.434,0.547,0.278,0.269,0.982,1.147,1.82,0.881,0.83,0.846,1.434,0.547,0.278,0.269,0.982,91.679,1
1.119,1.746,0.895,0.865,0.809,1.378,0.518,0.269,0.251,0.947,1.119,1.746,0.895,0.865,0.809,1.378,0.518,0.269,0.251,0.947,89.443,1
1.117,1.801,0.872,0.839,0.843,1.41,0.535,0.256,0.281,0.967,1.117,1.801,0.872,0.839,0.843,1.41,0.535,0.256,0.281,0.967,91.236,1
1.145,1.824,0.904,0.902,0.851,1.385,0.518,0.243,0.277,0.987,1.145,1.824,0.904,0.902,0.851,1.385,0.518,0.243,0.277,0.987,91.236,1
1.134,1.809,0.897,0.874,0.853,1.391,0.523,0.263,0.261,0.969,1.134,1.809,0.897,0.874,0.853,1.391,0.523,0.263,0.261,0.969,90.338,1
1.135,1.821,0.889,0.874,0.83,1.421,0.544,0.263,0.283,1.001,1.135,1.821,0.889,0.874,0.83,1.421,0.544,0.263,0.283,1.001,92.136,1
1.124,1.76,0.882,0.851,0.826,1.386,0.507,0.251,0.26,0.951,1.124,1.76,0.882,0.851,0.826,1.386,0.507,0.251,0.26,0.951,90.338,1
1.149,1.846,0.9,0.866,0.829,1.455,0.544,0.277,0.267,1.033,1.149,1.846,0.9,0.866,0.829,1.455,0.544,0.277,0.267,1.033,92.574,1
1.108,1.791,0.873,0.821,0.805,1.46,0.551,0.267,0.285,0.998,1.108,1.791,0.873,0.821,0.805,1.46,0.551,0.267,0.285,0.998,92.136,1
1.146,1.854,0.89,0.88,0.848,1.451,0.534,0.267,0.271,1.028,1.146,1.854,0.89,0.88,0.848,1.451,0.534,0.267,0.271,1.028,90.785,1
1.106,1.746,0.882,0.851,0.809,1.392,0.525,0.252,0.276,0.947,1.106,1.746,0.882,0.851,0.809,1.392,0.525,0.252,0.276,0.947,90.338,1
1.107,1.753,0.881,0.833,0.823,1.393,0.509,0.254,0.256,0.946,1.107,1.753,0.881,0.833,0.823,1.393,0.509,0.254,0.256,0.946,91.236,1
1.081,1.707,0.849,0.822,0.808,1.388,0.516,0.242,0.283,0.918,1.081,1.707,0.849,0.822,0.808,1.388,0.516,0.242,0.283,0.918,90.802,1
1.35,2.095,0.938,0.837,0.996,1.424,0.462,0.24,0.231,1.099,1.35,2.095,0.938,0.837,0.996,1.424,0.462,0.24,0.231,1.099,63.159,2
1.374,2.205,0.958,0.869,1.032,1.472,0.408,0.219,0.197,1.176,1.374,2.205,0.958,0.869,1.032,1.472,0.408,0.219,0.197,1.176,63.561,2
1.418,2.294,0.963,0.874,1.064,1.512,0.452,0.221,0.244,1.217,1.418,2.294,0.963,0.874,1.064,1.512,0.452,0.221,0.244,1.217,62.032,2
1.375,2.149,0.963,0.882,1.037,1.41,0.462,0.231,0.243,1.109,1.375,2.149,0.963,0.882,1.037,1.41,0.462,0.231,0.243,1.109,64.078,2
1.371,2.227,0.964,0.902,1.04,1.47,0.429,0.221,0.214,1.186,1.371,2.227,0.964,0.902,1.04,1.47,0.429,0.221,0.214,1.186,63.561,2
