1.288,2.079,0.879,0.745,0.564,2.842,0.59,0.326,0.264,2.269,1.288,2.079,0.879,0.745,0.564,2.842,0.59,0.326,0.264,2.269,146.659,1
1.287,2.058,0.864,0.745,0.574,2.776,0.608,0.304,0.304,2.178,1.287,2.058,0.864,0.745,0.574,2.776,0.608,0.304,0.304,2.178,142.555,
1.276,2.062,0.866,0.734,0.571,2.807,0.613,0.322,0.291,2.211,1.276,2.062,0.866,0.734,0.571,2.807,0.613,0.322,0.291,2.211,145.825,
1.327,2.102,0.875,0.753,0.611,2.651,0.577,0.319,0.26,2.076,1.327,2.102,0.875,0.753,0.611,2.651,0.577,0.319,0.26,2.076,141.566,
1.275,2.035,0.869,0.724,0.563,2.756,0.62,0.347,0.273,2.154,1.275,2.035,0.869,0.724,0.563,2.756,0.62,0.347,0.273,2.154,149.626,
1.178,2.069,0.877,0.715,0.532,3,0.687,0.409,0.278,2.327,1.178,2.069,0.877,0.715,0.532,3,0.687,0.409,0.278,2.327,135.34,
1.203,2.084,0.865,0.717,0.524,3.065,0.683,0.383,0.301,2.399,1.203,2.084,0.865,0.717,0.524,3.065,0.683,0.383,0.301,2.399,139.058,
1.256,2.068,0.866,0.732,0.569,2.807,0.614,0.337,0.278,2.208,1.256,2.068,0.866,0.732,0.569,2.807,0.614,0.337,0.278,2.208,138.101,
1.268,2.022,0.857,0.713,0.573,2.701,0.614,0.329,0.286,2.112,1.268,2.022,0.857,0.713,0.573,2.701,0.614,0.329,0.286,2.112,143.694,
1.285,2.113,0.887,0.764,0.566,2.877,0.601,0.332,0.269,2.28,1.285,2.113,0.887,0.764,0.566,2.877,0.601,0.332,0.269,2.28,139.445,
1.227,2.12,0.888,0.75,0.532,3.077,0.639,0.387,0.253,2.447,1.227,2.12,0.888,0.75,0.532,3.077,0.639,0.387,0.253,2.447,139.27,
1.325,2.126,0.861,0.751,0.609,2.728,0.582,0.3,0.284,2.152,1.325,2.126,0.861,0.751,0.609,2.728,0.582,0.3,0.284,2.152,142.555,
1.298,2.068,0.878,0.759,0.553,2.862,0.601,0.316,0.285,2.27,1.298,2.068,0.878,0.759,0.553,2.862,0.601,0.316,0.285,2.27,148.637,
1.246,2.07,0.889,0.73,0.538,2.954,0.664,0.39,0.276,2.299,1.246,2.07,0.889,0.73,0.538,2.954,0.664,0.39,0.276,2.299,146.697,
1.19,2.045,0.866,0.73,0.499,3.106,0.688,0.378,0.311,2.433,1.19,2.045,0.866,0.73,0.499,3.106,0.688,0.378,0.311,2.433,140.688,
1.281,2.062,0.863,0.727,0.572,2.757,0.623,0.334,0.289,2.144,1.281,2.062,0.863,0.727,0.572,2.757,0.623,0.334,0.289,2.144,146.328,
1.313,2.075,0.862,0.727,0.611,2.618,0.591,0.317,0.274,2.036,1.313,2.075,0.862,0.727,0.611,2.618,0.591,0.317,0.274,2.036,143.544,
1.256,2.048,0.867,0.734,0.565,2.801,0.62,0.34,0.28,2.197,1.256,2.048,0.867,0.734,0.565,2.801,0.62,0.34,0.28,2.197,140.246,
1.25,2.043,0.883,0.754,0.517,3.033,0.638,0.369,0.27,2.412,1.25,2.043,0.883,0.754,0.517,3.033,0.638,0.369,0.27,2.412,148.297,
1.231,2.008,0.873,0.732,0.516,2.96,0.644,0.362,0.283,2.345,1.231,2.008,0.873,0.732,0.516,2.96,0.644,0.362,0.283,2.345,148.476,
1.263,2.078,0.865,0.721,0.578,2.807,0.635,0.348,0.287,2.186,1.263,2.078,0.865,0.721,0.578,2.807,0.635,0.348,0.287,2.186,142.215,
1.247,2.06,0.876,0.719,0.557,2.87,0.673,0.391,0.281,2.208,1.247,2.06,0.876,0.719,0.557,2.87,0.673,0.391,0.281,2.208,143.199,
1.258,2.018,0.871,0.742,0.536,2.861,0.623,0.335,0.289,2.256,1.258,2.018,0.871,0.742,0.536,2.861,0.623,0.335,0.289,2.256,145.986,
1.268,2.019,0.858,0.729,0.562,2.761,0.624,0.334,0.292,2.156,1.268,2.019,0.858,0.729,0.562,2.761,0.624,0.334,0.292,2.156,145.825,
